Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
vector;newton.c;15;0.9316773414611816;0-2;LSB bit-flip;1
value;newton.c;45;1.295290231704712;0-2;LSB bit-flip;1
result;newton.c;56;1.0073509216308594;0-2;LSB bit-flip;1
vector;newton.c;56;1.191206932067871;0-2;LSB bit-flip;1
result;newton.c;56;0.56315016746521;0-2;LSB bit-flip;1
result;newton.c;56;0.5877065658569336;0-2;LSB bit-flip;1
i;newton.c;58;1.062086582183838;0-2;LSB bit-flip;1
value;newton.c;45;1.193180799484253;0-2;LSB bit-flip;1
vector;newton.c;15;0.9243266582489014;0-2;LSB bit-flip;1
vector;newton.c;15;0.4920632839202881;0-2;LSB bit-flip;1
vector;newton.c;15;0.5193417072296143;0-2;LSB bit-flip;1
value;newton.c;45;1.0280358791351318;0-2;LSB bit-flip;1
allowed_error;newton.c;60;0.7552127838134766;0-2;LSB bit-flip;1
allowed_error;newton.c;60;0.992673397064209;0-2;LSB bit-flip;1
value;newton.c;45;0.4917316436767578;0-2;LSB bit-flip;1
vector;newton.c;15;1.0418059825897217;0-2;LSB bit-flip;1
value;newton.c;7;0.9215402603149414;0-2;LSB bit-flip;1
result;newton.c;56;0.3842959403991699;0-2;LSB bit-flip;1
value;newton.c;7;1.0995957851409912;0-2;LSB bit-flip;1
value;newton.c;7;1.0445585250854492;0-2;LSB bit-flip;1
value;newton.c;11;0.34700846672058105;0-2;LSB bit-flip;1
result;newton.c;56;1.214367151260376;0-2;LSB bit-flip;1
result;newton.c;56;0.8591704368591309;0-2;LSB bit-flip;1
i;newton.c;58;1.6298952102661133;0-2;LSB bit-flip;1
result;newton.c;56;0.6242620944976807;0-2;LSB bit-flip;1
result;newton.c;56;0.9871556758880615;0-2;LSB bit-flip;1
value;newton.c;7;1.695284366607666;0-2;LSB bit-flip;1
result;newton.c;56;1.2401940822601318;0-2;LSB bit-flip;1
i;newton.c;58;0.764751672744751;0-2;LSB bit-flip;1
vector;newton.c;56;0.5448348522186279;0-2;LSB bit-flip;1
vector;newton.c;56;1.0388600826263428;0-2;LSB bit-flip;1
vector;newton.c;56;0.9558918476104736;0-2;LSB bit-flip;1
value;newton.c;7;1.1575560569763184;0-2;LSB bit-flip;1
vector;newton.c;15;0.4374821186065674;0-2;LSB bit-flip;1
vector;newton.c;15;1.0798943042755127;0-2;LSB bit-flip;1
vector;newton.c;15;0.1716005802154541;0-2;LSB bit-flip;1
value;newton.c;45;1.0242583751678467;0-2;LSB bit-flip;1
result;newton.c;56;0.9983041286468506;0-2;LSB bit-flip;1
vector;newton.c;15;0.33074235916137695;0-2;LSB bit-flip;1
value;newton.c;45;0.8529644012451172;0-2;LSB bit-flip;1
value;newton.c;45;0.9089269638061523;0-2;LSB bit-flip;1
value;newton.c;45;1.2033257484436035;0-2;LSB bit-flip;1
vector;newton.c;56;0.6293582916259766;0-2;LSB bit-flip;1
result;newton.c;56;0.8181960582733154;0-2;LSB bit-flip;1
value;newton.c;45;0.28766751289367676;0-2;LSB bit-flip;1
vector;newton.c;15;1.0810394287109375;0-2;LSB bit-flip;1
value;newton.c;45;0.857764482498169;0-2;LSB bit-flip;1
vector;newton.c;15;0.5722830295562744;0-2;LSB bit-flip;1
value;newton.c;45;1.2713303565979004;0-2;LSB bit-flip;1
result;newton.c;56;0.6074790954589844;0-2;LSB bit-flip;1
value;newton.c;45;1.2701444625854492;0-2;LSB bit-flip;1
i;newton.c;58;1.063849687576294;0-2;LSB bit-flip;1
allowed_error;newton.c;60;0.8737289905548096;0-2;LSB bit-flip;1
vector;newton.c;56;0.7017767429351807;0-2;LSB bit-flip;1
result;newton.c;56;1.078521966934204;0-2;LSB bit-flip;1
value;newton.c;45;0.3691854476928711;0-2;LSB bit-flip;1
result;newton.c;56;0.6805274486541748;0-2;LSB bit-flip;1
i;newton.c;58;1.159940242767334;0-2;LSB bit-flip;1
result;newton.c;56;0.6299540996551514;0-2;LSB bit-flip;1
m;newton.c;46;0.9369547367095947;0-2;LSB bit-flip;1
i;newton.c;58;0.36452198028564453;0-2;LSB bit-flip;1
value;newton.c;45;1.0416207313537598;0-2;LSB bit-flip;1
result;newton.c;56;0.8659152984619141;0-2;LSB bit-flip;1
vector;newton.c;15;0.6690945625305176;0-2;LSB bit-flip;1
value;newton.c;7;0.2752654552459717;0-2;LSB bit-flip;1
result;newton.c;56;0.33548521995544434;0-2;LSB bit-flip;1
result;newton.c;56;0.563530683517456;0-2;LSB bit-flip;1
i;newton.c;58;1.2035038471221924;0-2;LSB bit-flip;1
vector;newton.c;56;0.7652292251586914;0-2;LSB bit-flip;1
vector;newton.c;56;0.6610434055328369;0-2;LSB bit-flip;1
i;newton.c;58;0.9140000343322754;0-2;LSB bit-flip;1
result;newton.c;56;1.5254743099212646;0-2;LSB bit-flip;1
result;newton.c;56;1.328742504119873;0-2;LSB bit-flip;1
value;newton.c;45;0.8921999931335449;0-2;LSB bit-flip;1
result;newton.c;56;1.2723090648651123;0-2;LSB bit-flip;1
result;newton.c;56;0.917217493057251;0-2;LSB bit-flip;1
i;newton.c;58;0.3969290256500244;0-2;LSB bit-flip;1
i;newton.c;58;1.1828532218933105;0-2;LSB bit-flip;1
vector;newton.c;56;1.1603727340698242;0-2;LSB bit-flip;1
value;newton.c;45;0.341860294342041;0-2;LSB bit-flip;1
i;newton.c;58;0.41985511779785156;0-2;LSB bit-flip;1
value;newton.c;45;1.6684801578521729;0-2;LSB bit-flip;1
vector;newton.c;15;1.1553444862365723;0-2;LSB bit-flip;1
value;newton.c;11;0.562373161315918;0-2;LSB bit-flip;1
value;newton.c;45;1.2119255065917969;0-2;LSB bit-flip;1
value;newton.c;45;0.5928916931152344;0-2;LSB bit-flip;1
value;newton.c;7;0.4978165626525879;0-2;LSB bit-flip;1
result;newton.c;56;1.1421217918395996;0-2;LSB bit-flip;1
i;newton.c;58;1.0522692203521729;0-2;LSB bit-flip;1
vector;newton.c;15;0.20565509796142578;0-2;LSB bit-flip;1
vector;newton.c;56;1.3144428730010986;0-2;LSB bit-flip;1
vector;newton.c;15;0.5361781120300293;0-2;LSB bit-flip;1
vector;newton.c;15;0.7589290142059326;0-2;LSB bit-flip;1
result;newton.c;56;1.2956199645996094;0-2;LSB bit-flip;1
value;newton.c;7;0.47289395332336426;0-2;LSB bit-flip;1
value;newton.c;7;1.0134239196777344;0-2;LSB bit-flip;1
result;newton.c;56;0.6398172378540039;0-2;LSB bit-flip;1
value;newton.c;45;1.2629632949829102;0-2;LSB bit-flip;1
i;newton.c;58;0.4719507694244385;0-2;LSB bit-flip;1
i;newton.c;58;0.7738418579101562;0-2;LSB bit-flip;1
result;newton.c;56;1.0836749076843262;0-2;LSB bit-flip;1
value;newton.c;45;0.9459543228149414;0-2;LSB bit-flip;1
vector;newton.c;15;0.7471771240234375;0-2;LSB bit-flip;1
value;newton.c;45;1.0172812938690186;0-2;LSB bit-flip;1
value;newton.c;7;0.3825716972351074;0-2;LSB bit-flip;1
value;newton.c;45;0.2653529644012451;0-2;LSB bit-flip;1
result;newton.c;56;1.128709316253662;0-2;LSB bit-flip;1
result;newton.c;56;1.1055326461791992;0-2;LSB bit-flip;1
value;newton.c;7;0.698279619216919;0-2;LSB bit-flip;1
result;newton.c;56;0.5611913204193115;0-2;LSB bit-flip;1
result;newton.c;56;0.7215611934661865;0-2;LSB bit-flip;1
i;newton.c;58;0.8377432823181152;0-2;LSB bit-flip;1
vector;newton.c;15;1.379551649093628;0-2;LSB bit-flip;1
result;newton.c;56;0.8551833629608154;0-2;LSB bit-flip;1
result;newton.c;56;0.7322900295257568;0-2;LSB bit-flip;1
result;newton.c;56;0.4224991798400879;0-2;LSB bit-flip;1
vector;newton.c;15;1.0145888328552246;0-2;LSB bit-flip;1
value;newton.c;45;1.0728981494903564;0-2;LSB bit-flip;1
vector;newton.c;15;0.8737246990203857;0-2;LSB bit-flip;1
value;newton.c;45;1.0360841751098633;0-2;LSB bit-flip;1
value;newton.c;7;0.7033865451812744;0-2;LSB bit-flip;1
value;newton.c;45;1.0581474304199219;0-2;LSB bit-flip;1
result;newton.c;56;0.8343806266784668;0-2;LSB bit-flip;1
value;newton.c;7;0.45751357078552246;0-2;LSB bit-flip;1
i;newton.c;58;0.45419955253601074;0-2;LSB bit-flip;1
result;newton.c;56;1.27420973777771;0-2;LSB bit-flip;1
vector;newton.c;15;0.3536694049835205;0-2;LSB bit-flip;1
value;newton.c;45;1.7780399322509766;0-2;LSB bit-flip;1
value;newton.c;11;0.82928466796875;0-2;LSB bit-flip;1
i;newton.c;58;1.1985042095184326;0-2;LSB bit-flip;1
value;newton.c;45;1.710843801498413;0-2;LSB bit-flip;1
vector;newton.c;15;0.8694033622741699;0-2;LSB bit-flip;1
result;newton.c;56;1.2966725826263428;0-2;LSB bit-flip;1
result;newton.c;56;0.9152107238769531;0-2;LSB bit-flip;1
result;newton.c;56;0.7769668102264404;0-2;LSB bit-flip;1
i;newton.c;58;1.2011702060699463;0-2;LSB bit-flip;1
value;newton.c;45;1.5109617710113525;0-2;LSB bit-flip;1
i;newton.c;58;1.243546485900879;0-2;LSB bit-flip;1
i;newton.c;58;1.2177186012268066;0-2;LSB bit-flip;1
