Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
path;newton.c;56;0.778862714767456;0-2;LSB bit-flip
path;newton.c;56;0.7289118766784668;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.0573334693908691;0-2;LSB bit-flip
vector;newton.c;56;1.3261871337890625;0-2;LSB bit-flip
f_input;newton.c;16;0.8372271060943604;0-2;LSB bit-flip
filename;newton.c;15;0.8645710945129395;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.1332993507385254;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.8082683086395264;0-2;LSB bit-flip
result;newton.c;56;1.2221436500549316;0-2;LSB bit-flip
exponent;strtod_l.c;339;0.2824859619140625;0-2;LSB bit-flip
path;newton.c;56;1.1357452869415283;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.24194860458374023;0-2;LSB bit-flip
_rtld_local_ro;rtld.c;202;0.2679603099822998;0-2;LSB bit-flip
index;newton.c;17;1.065424919128418;0-2;LSB bit-flip
result;newton.c;56;1.2801194190979004;0-2;LSB bit-flip
path;newton.c;56;0.9022650718688965;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.5307657718658447;0-2;LSB bit-flip
vector;newton.c;56;1.3936119079589844;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.27323484420776367;0-2;LSB bit-flip
filename;newton.c;15;0.6653857231140137;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.7786660194396973;0-2;LSB bit-flip
i;newton.c;58;1.2458937168121338;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.2181093692779541;0-2;LSB bit-flip
path;newton.c;56;0.362546443939209;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.4280393123626709;0-2;LSB bit-flip
f_input;newton.c;16;0.44284749031066895;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.7115044593811035;0-2;LSB bit-flip
vector;newton.c;56;0.8377623558044434;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.27223873138427734;0-2;LSB bit-flip
result;newton.c;56;1.1775262355804443;0-2;LSB bit-flip
f_input;newton.c;16;0.819890022277832;0-2;LSB bit-flip
symbolp;dl-addr.c;125;0.5126526355743408;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.3558337688446045;0-2;LSB bit-flip
vector;newton.c;56;1.3323779106140137;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.7662515640258789;0-2;LSB bit-flip
result;newton.c;56;0.9877300262451172;0-2;LSB bit-flip
_rtld_local_ro;rtld.c;202;0.21769237518310547;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.6216351985931396;0-2;LSB bit-flip
filename;newton.c;15;0.6175308227539062;0-2;LSB bit-flip
result;newton.c;56;0.9541218280792236;0-2;LSB bit-flip
i;newton.c;58;0.598402738571167;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.5182669162750244;0-2;LSB bit-flip
index;newton.c;17;0.8749713897705078;0-2;LSB bit-flip
filename;newton.c;15;1.137575626373291;0-2;LSB bit-flip
vector;newton.c;56;1.1106865406036377;0-2;LSB bit-flip
index;newton.c;17;0.9013612270355225;0-2;LSB bit-flip
vector;newton.c;56;1.2684664726257324;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.7976319789886475;0-2;LSB bit-flip
result;newton.c;56;1.1945197582244873;0-2;LSB bit-flip
index;newton.c;17;0.6713266372680664;0-2;LSB bit-flip
path;newton.c;56;1.1133136749267578;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.6783149242401123;0-2;LSB bit-flip
result;newton.c;56;0.5044369697570801;0-2;LSB bit-flip
index;newton.c;17;0.812171220779419;0-2;LSB bit-flip
result;newton.c;56;1.6846790313720703;0-2;LSB bit-flip
vector;newton.c;56;1.3970744609832764;0-2;LSB bit-flip
i;newton.c;58;1.3243541717529297;0-2;LSB bit-flip
index;newton.c;17;0.4223642349243164;0-2;LSB bit-flip
vector;newton.c;56;1.0821495056152344;0-2;LSB bit-flip
vector;newton.c;56;1.6126165390014648;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.4565138816833496;0-2;LSB bit-flip
index;newton.c;17;0.26233768463134766;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.7352118492126465;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.3712921142578125;0-2;LSB bit-flip
path;newton.c;56;0.927356481552124;0-2;LSB bit-flip
f_input;newton.c;16;0.8941831588745117;0-2;LSB bit-flip
result;newton.c;56;1.1391818523406982;0-2;LSB bit-flip
