Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
index;newton.c;26;0.4736897945404053;0-2;LSB bit-flip
f_input;newton.c;25;0.45163440704345703;0-2;LSB bit-flip
f_input;newton.c;25;1.048497200012207;0-2;LSB bit-flip
filename;newton.c;24;0.28156375885009766;0-2;LSB bit-flip
vector;newton.c;24;0.5621964931488037;0-2;LSB bit-flip
f_input;newton.c;25;0.1725904941558838;0-2;LSB bit-flip
loc;strtod_l.c;480;1.0587742328643799;0-2;LSB bit-flip
f_input;newton.c;25;0.4237210750579834;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.9918265342712402;0-2;LSB bit-flip
f_input;newton.c;25;1.11820387840271;0-2;LSB bit-flip
filename;newton.c;24;0.7934811115264893;0-2;LSB bit-flip
f_input;newton.c;25;1.1939539909362793;0-2;LSB bit-flip
vector;newton.c;24;0.3484537601470947;0-2;LSB bit-flip
f_input;newton.c;25;0.7992842197418213;0-2;LSB bit-flip
index;newton.c;26;0.5322232246398926;0-2;LSB bit-flip
index;newton.c;26;0.8693764209747314;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.6322000026702881;0-2;LSB bit-flip
f_input;newton.c;25;0.8139643669128418;0-2;LSB bit-flip
index;newton.c;26;1.0381746292114258;0-2;LSB bit-flip
f_input;newton.c;25;0.5815339088439941;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.7126355171203613;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.971564769744873;0-2;LSB bit-flip
index;newton.c;26;1.042128086090088;0-2;LSB bit-flip
index;newton.c;26;0.6727526187896729;0-2;LSB bit-flip
filename;newton.c;24;0.808056116104126;0-2;LSB bit-flip
vector;newton.c;24;0.5727362632751465;0-2;LSB bit-flip
index;newton.c;26;1.187790870666504;0-2;LSB bit-flip
vector;newton.c;24;1.191493272781372;0-2;LSB bit-flip
vector;newton.c;24;0.9168179035186768;0-2;LSB bit-flip
endptr;strtod_l.c;479;0.6450772285461426;0-2;LSB bit-flip
index;newton.c;26;0.3068232536315918;0-2;LSB bit-flip
filename;newton.c;24;0.7796640396118164;0-2;LSB bit-flip
_rtld_local_ro;rtld.c;202;0.6259355545043945;0-2;LSB bit-flip
f_input;newton.c;25;1.1540513038635254;0-2;LSB bit-flip
f_input;newton.c;25;1.0661461353302002;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.0530023574829102;0-2;LSB bit-flip
f_input;newton.c;25;1.1097826957702637;0-2;LSB bit-flip
index;newton.c;26;0.48214268684387207;0-2;LSB bit-flip
index;newton.c;26;0.8361475467681885;0-2;LSB bit-flip
vector;newton.c;24;0.5576140880584717;0-2;LSB bit-flip
filename;newton.c;24;0.8793313503265381;0-2;LSB bit-flip
vector;newton.c;24;1.0580852031707764;0-2;LSB bit-flip
index;newton.c;26;0.7525310516357422;0-2;LSB bit-flip
index;newton.c;26;0.40247583389282227;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.4879930019378662;0-2;LSB bit-flip
index;newton.c;26;1.1651546955108643;0-2;LSB bit-flip
index;newton.c;26;0.46776270866394043;0-2;LSB bit-flip
f_input;newton.c;25;0.43489885330200195;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.6112236976623535;0-2;LSB bit-flip
vector;newton.c;24;0.9975805282592773;0-2;LSB bit-flip
filename;newton.c;24;0.6400184631347656;0-2;LSB bit-flip
f_input;newton.c;25;0.5547800064086914;0-2;LSB bit-flip
f_input;newton.c;25;0.4868941307067871;0-2;LSB bit-flip
index;newton.c;26;0.4481377601623535;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.5317354202270508;0-2;LSB bit-flip
f_input;newton.c;25;0.990483283996582;0-2;LSB bit-flip
vector;newton.c;24;1.1250874996185303;0-2;LSB bit-flip
vector;newton.c;24;0.3304407596588135;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.5097007751464844;0-2;LSB bit-flip
filename;newton.c;24;0.42071032524108887;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.45013427734375;0-2;LSB bit-flip
f_input;newton.c;25;0.621936559677124;0-2;LSB bit-flip
index;newton.c;26;0.3541080951690674;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.2795712947845459;0-2;LSB bit-flip
vector;newton.c;24;0.28385090827941895;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.6719176769256592;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.24053692817687988;0-2;LSB bit-flip
_rtld_local_ro;rtld.c;202;0.8745851516723633;0-2;LSB bit-flip
index;newton.c;26;0.27448058128356934;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.17493295669555664;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.18640494346618652;0-2;LSB bit-flip
_rtld_local;rtld.c;162;0.8824787139892578;0-2;LSB bit-flip
f_input;newton.c;25;0.3729090690612793;0-2;LSB bit-flip
