bitflips:;27040
Total SDCs:;3309
Detected SDCs:;682
Crashes:;804
Simultaneous SDCs and Crashes:;0

FaultModels Undetected SDCs:
FaultModel ;#SDCs; percentage
LSB bit-flip;2627;79.38954366878211

FaultModels Detected SDCs:
FaultModel ;#SDCs Detected; percentage
LSB bit-flip;682;20.61045633121789

FaultModels Crashes:
FaultModel ;#Crashes; percentage
LSB bit-flip;804;24.2973708068903

Variables that caused Undetected SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
84.53006421482779;1713;1448;value;newton.c;54
55.509641873278234;726;403;value;newton.c;16
11.853088480801336;1797;213;allowed_error;newton.c;54
100.0;163;163;index;newton.c;41
8.61878453038674;1810;156;m;newton.c;55
53.01204819277109;166;88;result;newton.c;39
65.89147286821705;129;85;f_output;newton.c;40
27.659574468085108;141;39;value;newton.c;20
3.8461538461538463;416;16;_rtld_local;rtld.c;162
2.70935960591133;406;11;_rtld_global;rtld.c;140
13.333333333333334;15;2;__GI__IO_file_jumps;fileops.c;1537
11.76470588235294;17;2;_IO_file_jumps;fileops.c;1560
4.0;25;1;_IO_file_jumps_mmap;fileops.c;1562

Variables that caused Detected SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
50.0402252614642;1243;622;vector;newton.c;24
19.402985074626866;134;26;exponent;strtod_l.c;484
62.857142857142854;35;22;nptr;strtod_l.c;479
100.0;9;9;last_digit_odd;../include/rounding-mode.h;43
0.18814675446848542;1063;2;f_input;newton.c;25
1.1494252873563218;87;1;endptr;strtod_l.c;479

Variables that caused Crash:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
11.185308848080133;1797;201;allowed_error;newton.c;54
16.839134524929445;1063;179;f_input;newton.c;25
9.687750200160128;1249;121;index;newton.c;26
5.87288817377313;1243;73;vector;newton.c;24
13.602015113350127;397;54;_dl_skip_args;rtld.c;84
11.302211302211303;407;46;user_entry;../elf/dl-sysdep.c;89
2.6835043409629047;1267;34;filename;newton.c;24
51.85185185185185;54;28;exponent;strtod_l.c;339
20.8955223880597;134;28;exponent;strtod_l.c;484
3.258145363408521;399;13;__GI__dl_argv;rtld.c;83
2.528089887640449;356;9;_dl_argv;rtld.c;86
4.597701149425287;87;4;endptr;strtod_l.c;479
2.7777777777777777;108;3;numsize;strtod_l.c;483
0.4807692307692308;416;2;_rtld_local;rtld.c;162
0.5291005291005291;378;2;_rtld_local_ro;rtld.c;202
0.5063291139240507;395;2;_rtld_global_ro;rtld.c;168
0.49261083743842365;406;2;_rtld_global;rtld.c;140
5.405405405405405;37;2;loc;strtod_l.c;480
10.0;10;1;list_all_lock;genops.c;38
