Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
vector;newton.c;24;0.595055103302002;0-2;LSB bit-flip;1
vector;newton.c;24;0.49503016471862793;0-2;LSB bit-flip;1
vector;newton.c;24;0.7493290901184082;0-2;LSB bit-flip;1
vector;newton.c;24;0.3778059482574463;0-2;LSB bit-flip;1
vector;newton.c;24;0.632483720779419;0-2;LSB bit-flip;1
vector;newton.c;24;0.8289227485656738;0-2;LSB bit-flip;1
vector;newton.c;24;0.3845198154449463;0-2;LSB bit-flip;1
vector;newton.c;24;0.6931760311126709;0-2;LSB bit-flip;1
vector;newton.c;24;0.5330548286437988;0-2;LSB bit-flip;1
vector;newton.c;24;0.5300981998443604;0-2;LSB bit-flip;1
nptr;strtod_l.c;479;0.48317599296569824;0-2;LSB bit-flip;1
vector;newton.c;24;0.6487324237823486;0-2;LSB bit-flip;1
vector;newton.c;24;1.0503907203674316;0-2;LSB bit-flip;1
vector;newton.c;24;1.0209765434265137;0-2;LSB bit-flip;1
vector;newton.c;24;1.030942678451538;0-2;LSB bit-flip;1
vector;newton.c;24;0.21691417694091797;0-2;LSB bit-flip;1
vector;newton.c;24;0.6953072547912598;0-2;LSB bit-flip;1
vector;newton.c;24;0.5914688110351562;0-2;LSB bit-flip;1
vector;newton.c;24;1.1461353302001953;0-2;LSB bit-flip;1
vector;newton.c;24;1.0164515972137451;0-2;LSB bit-flip;1
nptr;strtod_l.c;479;0.37938642501831055;0-2;LSB bit-flip;1
vector;newton.c;24;0.21347546577453613;0-2;LSB bit-flip;1
vector;newton.c;24;0.5203852653503418;0-2;LSB bit-flip;1
vector;newton.c;24;0.3688466548919678;0-2;LSB bit-flip;1
vector;newton.c;24;0.6196486949920654;0-2;LSB bit-flip;1
vector;newton.c;24;0.5755043029785156;0-2;LSB bit-flip;1
vector;newton.c;24;1.076472282409668;0-2;LSB bit-flip;1
vector;newton.c;24;0.8196403980255127;0-2;LSB bit-flip;1
vector;newton.c;24;1.134082317352295;0-2;LSB bit-flip;1
vector;newton.c;24;0.7067322731018066;0-2;LSB bit-flip;1
vector;newton.c;24;0.6356093883514404;0-2;LSB bit-flip;1
vector;newton.c;24;1.0398335456848145;0-2;LSB bit-flip;1
vector;newton.c;24;1.1466033458709717;0-2;LSB bit-flip;1
vector;newton.c;24;0.5717105865478516;0-2;LSB bit-flip;1
vector;newton.c;24;0.5961775779724121;0-2;LSB bit-flip;1
vector;newton.c;24;0.6430027484893799;0-2;LSB bit-flip;1
vector;newton.c;24;0.8446369171142578;0-2;LSB bit-flip;1
vector;newton.c;24;0.34172606468200684;0-2;LSB bit-flip;1
vector;newton.c;24;0.4476194381713867;0-2;LSB bit-flip;1
vector;newton.c;24;0.6851949691772461;0-2;LSB bit-flip;1
vector;newton.c;24;0.31319379806518555;0-2;LSB bit-flip;1
vector;newton.c;24;1.084500789642334;0-2;LSB bit-flip;1
nptr;strtod_l.c;479;0.2918872833251953;0-2;LSB bit-flip;1
vector;newton.c;24;0.6076920032501221;0-2;LSB bit-flip;1
vector;newton.c;24;0.9897003173828125;0-2;LSB bit-flip;1
vector;newton.c;24;0.7698307037353516;0-2;LSB bit-flip;1
vector;newton.c;24;0.8202533721923828;0-2;LSB bit-flip;1
exponent;strtod_l.c;484;1.2276136875152588;0-2;LSB bit-flip;1
vector;newton.c;24;0.858818531036377;0-2;LSB bit-flip;1
vector;newton.c;24;0.7845156192779541;0-2;LSB bit-flip;1
vector;newton.c;24;0.5171511173248291;0-2;LSB bit-flip;1
vector;newton.c;24;0.5027852058410645;0-2;LSB bit-flip;1
last_digit_odd;../include/rounding-mode.h;43;0.922490119934082;0-2;LSB bit-flip;1
vector;newton.c;24;0.17574644088745117;0-2;LSB bit-flip;1
vector;newton.c;24;0.9242241382598877;0-2;LSB bit-flip;1
vector;newton.c;24;1.174964189529419;0-2;LSB bit-flip;1
vector;newton.c;24;0.43474555015563965;0-2;LSB bit-flip;1
vector;newton.c;24;0.8298909664154053;0-2;LSB bit-flip;1
vector;newton.c;24;1.023528814315796;0-2;LSB bit-flip;1
vector;newton.c;24;1.0565807819366455;0-2;LSB bit-flip;1
vector;newton.c;24;0.29300713539123535;0-2;LSB bit-flip;1
vector;newton.c;24;0.6584742069244385;0-2;LSB bit-flip;1
vector;newton.c;24;0.4980630874633789;0-2;LSB bit-flip;1
vector;newton.c;24;1.0734703540802002;0-2;LSB bit-flip;1
vector;newton.c;24;1.0076425075531006;0-2;LSB bit-flip;1
vector;newton.c;24;0.802802324295044;0-2;LSB bit-flip;1
vector;newton.c;24;0.998549222946167;0-2;LSB bit-flip;1
vector;newton.c;24;0.6904304027557373;0-2;LSB bit-flip;1
vector;newton.c;24;0.27292370796203613;0-2;LSB bit-flip;1
vector;newton.c;24;1.1038107872009277;0-2;LSB bit-flip;1
vector;newton.c;24;0.8926050662994385;0-2;LSB bit-flip;1
vector;newton.c;24;0.3035118579864502;0-2;LSB bit-flip;1
vector;newton.c;24;0.8255579471588135;0-2;LSB bit-flip;1
vector;newton.c;24;0.321993350982666;0-2;LSB bit-flip;1
