Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
result;newton.c;57;0.2630319595336914;0-2;LSB bit-flip;1
value;newton.c;46;0.40372395515441895;0-2;LSB bit-flip;1
result;newton.c;57;0.7194006443023682;0-2;LSB bit-flip;1
value;newton.c;46;0.9804983139038086;0-2;LSB bit-flip;1
i;newton.c;59;0.7061524391174316;0-2;LSB bit-flip;1
vector;newton.c;16;1.0419158935546875;0-2;LSB bit-flip;1
result;newton.c;57;1.162050485610962;0-2;LSB bit-flip;1
vector;newton.c;16;0.8609025478363037;0-2;LSB bit-flip;1
vector;newton.c;16;1.0730481147766113;0-2;LSB bit-flip;1
value;newton.c;46;0.9615762233734131;0-2;LSB bit-flip;1
vector;newton.c;16;0.32135701179504395;0-2;LSB bit-flip;1
value;newton.c;8;0.9508063793182373;0-2;LSB bit-flip;1
m;newton.c;47;1.5267820358276367;0-2;LSB bit-flip;1
value;newton.c;46;1.146528720855713;0-2;LSB bit-flip;1
value;newton.c;46;1.2018153667449951;0-2;LSB bit-flip;1
value;newton.c;8;0.6501336097717285;0-2;LSB bit-flip;1
vector;newton.c;16;0.9192705154418945;0-2;LSB bit-flip;1
allowed_error;newton.c;61;1.0467464923858643;0-2;LSB bit-flip;1
i;newton.c;59;0.5626494884490967;0-2;LSB bit-flip;1
value;newton.c;46;1.3338477611541748;0-2;LSB bit-flip;1
value;newton.c;12;0.7836394309997559;0-2;LSB bit-flip;1
value;newton.c;46;0.5069613456726074;0-2;LSB bit-flip;1
result;newton.c;57;1.8097081184387207;0-2;LSB bit-flip;1
i;newton.c;59;0.6120753288269043;0-2;LSB bit-flip;1
value;newton.c;8;0.4484744071960449;0-2;LSB bit-flip;1
value;newton.c;46;0.6877040863037109;0-2;LSB bit-flip;1
i;newton.c;59;1.3825664520263672;0-2;LSB bit-flip;1
i;newton.c;59;0.5299930572509766;0-2;LSB bit-flip;1
result;newton.c;57;1.9840385913848877;0-2;LSB bit-flip;1
value;newton.c;46;1.0339317321777344;0-2;LSB bit-flip;1
value;newton.c;8;1.4735107421875;0-2;LSB bit-flip;1
result;newton.c;57;1.509467363357544;0-2;LSB bit-flip;1
value;newton.c;46;0.691622257232666;0-2;LSB bit-flip;1
i;newton.c;59;0.35108470916748047;0-2;LSB bit-flip;1
result;newton.c;57;1.021047830581665;0-2;LSB bit-flip;1
vector;newton.c;57;1.1417391300201416;0-2;LSB bit-flip;1
result;newton.c;57;1.183943271636963;0-2;LSB bit-flip;1
vector;newton.c;16;0.3207581043243408;0-2;LSB bit-flip;1
result;newton.c;57;1.047410249710083;0-2;LSB bit-flip;1
value;newton.c;8;1.0941250324249268;0-2;LSB bit-flip;1
value;newton.c;46;0.9229776859283447;0-2;LSB bit-flip;1
allowed_error;newton.c;61;1.2080883979797363;0-2;LSB bit-flip;1
result;newton.c;57;0.802584171295166;0-2;LSB bit-flip;1
result;newton.c;57;0.9037253856658936;0-2;LSB bit-flip;1
value;newton.c;46;1.3191394805908203;0-2;LSB bit-flip;1
vector;newton.c;57;1.126357078552246;0-2;LSB bit-flip;1
value;newton.c;46;0.6381931304931641;0-2;LSB bit-flip;1
vector;newton.c;57;0.25680017471313477;0-2;LSB bit-flip;1
vector;newton.c;57;0.8188879489898682;0-2;LSB bit-flip;1
value;newton.c;8;0.39475250244140625;0-2;LSB bit-flip;1
result;newton.c;57;1.3559033870697021;0-2;LSB bit-flip;1
result;newton.c;57;0.8635959625244141;0-2;LSB bit-flip;1
i;newton.c;59;0.9079916477203369;0-2;LSB bit-flip;1
vector;newton.c;16;1.1528549194335938;0-2;LSB bit-flip;1
value;newton.c;46;0.562875509262085;0-2;LSB bit-flip;1
