Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
index;newton.c;25;0.38132548332214355;0-2;LSB bit-flip
vector;newton.c;23;1.0323312282562256;0-2;LSB bit-flip
result;newton.c;103;0.8497765064239502;0-2;LSB bit-flip
result;newton.c;103;1.4506549835205078;0-2;LSB bit-flip
vector;newton.c;103;1.2033517360687256;0-2;LSB bit-flip
result;newton.c;103;1.228780746459961;0-2;LSB bit-flip
filename;newton.c;23;0.5638275146484375;0-2;LSB bit-flip
index;newton.c;25;0.8140146732330322;0-2;LSB bit-flip
index;newton.c;40;0.9890248775482178;0-2;LSB bit-flip
endptr;strtod_l.c;479;0.8200681209564209;0-2;LSB bit-flip
f_input;newton.c;24;0.6139247417449951;0-2;LSB bit-flip
result;newton.c;103;0.8350856304168701;0-2;LSB bit-flip
f_input;newton.c;24;0.4452683925628662;0-2;LSB bit-flip
index;newton.c;40;1.0664138793945312;0-2;LSB bit-flip
index;newton.c;40;0.38007521629333496;0-2;LSB bit-flip
vector;newton.c;38;1.1946296691894531;0-2;LSB bit-flip
index;newton.c;40;1.0188634395599365;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.42150330543518066;0-2;LSB bit-flip
vector;newton.c;103;1.2027268409729004;0-2;LSB bit-flip
result;newton.c;103;0.7455472946166992;0-2;LSB bit-flip
index;newton.c;40;1.0714139938354492;0-2;LSB bit-flip
vector;newton.c;113;1.076613426208496;0-2;LSB bit-flip
result;newton.c;113;1.6200764179229736;0-2;LSB bit-flip
result;newton.c;103;0.9348502159118652;0-2;LSB bit-flip
index;newton.c;25;0.6759777069091797;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.712188720703125;0-2;LSB bit-flip
index;newton.c;40;0.9591977596282959;0-2;LSB bit-flip
loc;strtod_l.c;480;0.3255038261413574;0-2;LSB bit-flip
result;newton.c;103;0.5680234432220459;0-2;LSB bit-flip
index;newton.c;40;0.7133867740631104;0-2;LSB bit-flip
filename;newton.c;23;0.2772681713104248;0-2;LSB bit-flip
vector;newton.c;38;0.7916111946105957;0-2;LSB bit-flip
index;newton.c;25;0.36333513259887695;0-2;LSB bit-flip
_rtld_global;rtld.c;140;0.5057644844055176;0-2;LSB bit-flip
vector;newton.c;38;0.296950101852417;0-2;LSB bit-flip
index;newton.c;25;0.9886105060577393;0-2;LSB bit-flip
index;newton.c;40;0.2956087589263916;0-2;LSB bit-flip
vector;newton.c;113;1.1378345489501953;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.8149542808532715;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.8059015274047852;0-2;LSB bit-flip
vector;newton.c;23;0.8541479110717773;0-2;LSB bit-flip
vector;newton.c;23;0.3930182456970215;0-2;LSB bit-flip
f_input;newton.c;24;0.25850486755371094;0-2;LSB bit-flip
exponent;strtod_l.c;339;0.7222375869750977;0-2;LSB bit-flip
result;newton.c;113;1.0109362602233887;0-2;LSB bit-flip
f_input;newton.c;39;0.5261199474334717;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.5396406650543213;0-2;LSB bit-flip
vector;newton.c;103;0.7666676044464111;0-2;LSB bit-flip
f_input;newton.c;39;1.0316636562347412;0-2;LSB bit-flip
filename;newton.c;23;0.4624297618865967;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.0056815147399902;0-2;LSB bit-flip
result;newton.c;103;0.3944370746612549;0-2;LSB bit-flip
_dl_argv;rtld.c;86;1.0686094760894775;0-2;LSB bit-flip
result;newton.c;103;0.9220905303955078;0-2;LSB bit-flip
f_input;newton.c;24;0.6822683811187744;0-2;LSB bit-flip
vector;newton.c;113;1.268430233001709;0-2;LSB bit-flip
f_input;newton.c;39;0.6131880283355713;0-2;LSB bit-flip
filename;newton.c;23;0.30052781105041504;0-2;LSB bit-flip
index;newton.c;40;0.9894914627075195;0-2;LSB bit-flip
index;newton.c;25;0.8917763233184814;0-2;LSB bit-flip
index;newton.c;40;0.6774685382843018;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.051544189453125;0-2;LSB bit-flip
index;newton.c;40;0.6414520740509033;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.0449161529541016;0-2;LSB bit-flip
filename;newton.c;23;0.7684109210968018;0-2;LSB bit-flip
vector;newton.c;113;1.0831241607666016;0-2;LSB bit-flip
f_input;newton.c;39;0.34058618545532227;0-2;LSB bit-flip
result;newton.c;103;0.7024810314178467;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.6485567092895508;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.035094976425171;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.6727015972137451;0-2;LSB bit-flip
result;newton.c;103;0.7357149124145508;0-2;LSB bit-flip
vector;newton.c;38;1.1834509372711182;0-2;LSB bit-flip
index;newton.c;25;0.9711833000183105;0-2;LSB bit-flip
result;newton.c;113;1.2125539779663086;0-2;LSB bit-flip
f_input;newton.c;39;0.786081075668335;0-2;LSB bit-flip
f_input;newton.c;24;0.7776463031768799;0-2;LSB bit-flip
vector;newton.c;23;0.8390719890594482;0-2;LSB bit-flip
f_input;newton.c;24;0.5699782371520996;0-2;LSB bit-flip
index;newton.c;25;0.654167890548706;0-2;LSB bit-flip
vector;newton.c;23;1.0033020973205566;0-2;LSB bit-flip
index;newton.c;25;1.1172358989715576;0-2;LSB bit-flip
index;newton.c;40;0.5306353569030762;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.1500630378723145;0-2;LSB bit-flip
vector;newton.c;38;1.2527947425842285;0-2;LSB bit-flip
vector;newton.c;38;0.9324986934661865;0-2;LSB bit-flip
vector;newton.c;23;0.2359151840209961;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.6017332077026367;0-2;LSB bit-flip
vector;newton.c;103;1.406031608581543;0-2;LSB bit-flip
result;newton.c;103;1.4792962074279785;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.6775484085083008;0-2;LSB bit-flip
index;newton.c;25;0.7344622611999512;0-2;LSB bit-flip
filename;newton.c;23;0.777550220489502;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.7749509811401367;0-2;LSB bit-flip
index;newton.c;25;0.47833704948425293;0-2;LSB bit-flip
filename;newton.c;23;0.9939103126525879;0-2;LSB bit-flip
index;newton.c;25;0.9394590854644775;0-2;LSB bit-flip
f_input;newton.c;24;0.526522159576416;0-2;LSB bit-flip
f_input;newton.c;24;0.6565101146697998;0-2;LSB bit-flip
index;newton.c;25;0.7140858173370361;0-2;LSB bit-flip
index;newton.c;40;0.47755908966064453;0-2;LSB bit-flip
