bitflips:;36277
SDCs:;4369
Crashes:;1767
Simultaneous SDCs and Crashes:;0

FaultModels SDCs:
FaultModel ;#SDCs; percentage
LSB bit-flip;4369;100.0

FaultModels Crashes:
FaultModel ;#Crashes; percentage
LSB bit-flip;1767;40.444037537193864

Variables that caused SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
58.568738229755176;1593;933;value;newton.c;83
84.51676528599606;1014;857;i;newton.c;104
51.2258064516129;775;397;vector;newton.c;38
28.11965811965812;1170;329;value;newton.c;7
83.8323353293413;334;280;value;newton.c;93
85.17110266159695;263;224;i;newton.c;114
17.76937618147448;1058;188;vector;newton.c;23
11.271133375078271;1597;180;allowed_error;newton.c;83
54.12541254125413;303;164;value;newton.c;11
12.342079689018465;1029;127;result;newton.c;103
12.040816326530612;980;118;allowed_error;newton.c;106
49.519230769230774;208;103;result;newton.c;113
6.088004822182038;1659;101;m;newton.c;84
20.866141732283463;254;53;value;newton.c;15
13.192612137203167;379;50;allowed_error;newton.c;93
20.0;185;37;exponent;strtod_l.c;484
8.616187989556137;383;33;m;newton.c;94
12.121212121212121;231;28;allowed_error;newton.c;116
50.943396226415096;53;27;result;newton.c;53
60.0;35;21;f_output;newton.c;54
100.0;19;19;index;newton.c;70
3.1372549019607843;510;16;_rtld_local;rtld.c;162
71.42857142857143;21;15;f_output;newton.c;69
2.9166666666666665;480;14;_rtld_global;rtld.c;140
50.0;26;13;result;newton.c;68
21.73913043478261;46;10;value;newton.c;19
18.91891891891892;37;7;index;newton.c;55
0.8379888268156425;716;6;f_input;newton.c;39
11.76470588235294;51;6;nptr;strtod_l.c;479
27.27272727272727;11;3;__GI__IO_file_jumps;fileops.c;1537
16.666666666666664;12;2;_IO_file_jumps_mmap;fileops.c;1562
0.2136752136752137;936;2;value;newton.c;108
0.7575757575757576;264;2;value;newton.c;118
20.0;5;1;last_digit_odd;../include/rounding-mode.h;43
0.49019607843137253;204;1;num;strtod_l.c;483
100.0;1;1;p;printf_fp.c;243
14.285714285714285;7;1;_IO_file_jumps;fileops.c;1560

Variables that caused Crash:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
12.147777082028805;1597;194;allowed_error;newton.c;83
17.77301927194861;934;166;f_input;newton.c;24
15.306122448979592;980;150;allowed_error;newton.c;106
12.932604735883423;1098;142;index;newton.c;25
14.921780986762936;831;124;index;newton.c;40
16.899441340782122;716;121;f_input;newton.c;39
8.43155031731641;1103;93;filename;newton.c;23
16.3003663003663;546;89;_dl_skip_args;rtld.c;84
8.066083576287658;1029;83;result;newton.c;103
7.750472589792061;1058;82;vector;newton.c;23
7.738693467336684;995;77;vector;newton.c;103
13.026819923371647;522;68;user_entry;../elf/dl-sysdep.c;89
7.741935483870968;775;60;vector;newton.c;38
11.345646437994723;379;43;allowed_error;newton.c;93
56.00000000000001;75;42;exponent;strtod_l.c;339
16.017316017316016;231;37;allowed_error;newton.c;116
17.83783783783784;185;33;exponent;strtod_l.c;484
11.397058823529411;272;31;vector;newton.c;113
2.366863905325444;1014;24;i;newton.c;104
4.444444444444445;450;20;_dl_argv;rtld.c;86
8.653846153846153;208;18;result;newton.c;113
2.9296875;512;15;__GI__dl_argv;rtld.c;83
2.156862745098039;510;11;_rtld_local;rtld.c;162
4.081632653061225;196;8;numsize;strtod_l.c;483
2.2813688212927756;263;6;i;newton.c;114
1.2396694214876034;484;6;_rtld_global_ro;rtld.c;168
5.454545454545454;110;6;endptr;strtod_l.c;479
41.66666666666667;12;5;list_all_lock;genops.c;38
0.8333333333333334;480;4;_rtld_global;rtld.c;140
0.5859375;512;3;_rtld_local_ro;rtld.c;202
3.4482758620689653;58;2;loc;strtod_l.c;480
25.0;4;1;ranges;dl-reloc.c;258
50.0;2;1;nlist;dl-deps.c;163
4.761904761904762;21;1;grouping;strtod_l.c;530
1.9607843137254901;51;1;nptr;strtod_l.c;479
