Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
s_args1;newton.c;85;0.7103860378265381;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.6636455059051514;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;168;0.2692840099334717;0-2;LSB bit-flip
s_args1;newton.c;85;0.38227057456970215;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.9001538753509521;0-2;LSB bit-flip
_dl_argv;rtld.c;86;1.1176044940948486;0-2;LSB bit-flip
s_args1;newton.c;85;0.2835116386413574;0-2;LSB bit-flip
s_args1;newton.c;85;1.3349623680114746;0-2;LSB bit-flip
s_args2;newton.c;85;1.3633484840393066;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.6164860725402832;0-2;LSB bit-flip
_rtld_local;rtld.c;162;1.0405735969543457;0-2;LSB bit-flip
s_args2;newton.c;85;0.4331700801849365;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.7941873073577881;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.0206513404846191;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;1.0134539604187012;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.6114363670349121;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.0707964897155762;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.21719646453857422;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.652874231338501;0-2;LSB bit-flip
s_args2;newton.c;85;1.3184340000152588;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.6789073944091797;0-2;LSB bit-flip
s_args2;newton.c;85;1.283865213394165;0-2;LSB bit-flip
s_args1;newton.c;85;0.890089750289917;0-2;LSB bit-flip
s_args1;newton.c;85;1.1950230598449707;0-2;LSB bit-flip
s_args2;newton.c;85;1.237034559249878;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.0349206924438477;0-2;LSB bit-flip
s_args2;newton.c;85;1.0864393711090088;0-2;LSB bit-flip
s_args1;newton.c;85;0.9649481773376465;0-2;LSB bit-flip
s_args1;newton.c;85;0.8172173500061035;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.9330446720123291;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.7008776664733887;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.1535201072692871;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.0188469886779785;0-2;LSB bit-flip
s_args2;newton.c;85;0.789820671081543;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.9226424694061279;0-2;LSB bit-flip
s_args1;newton.c;85;0.7197980880737305;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.5319216251373291;0-2;LSB bit-flip
s_args1;newton.c;85;1.5618789196014404;0-2;LSB bit-flip
s_args1;newton.c;85;0.47780728340148926;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.7613668441772461;0-2;LSB bit-flip
s_args1;newton.c;85;0.3414580821990967;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.46253347396850586;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.7145440578460693;0-2;LSB bit-flip
s_args1;newton.c;85;1.0763318538665771;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.8448786735534668;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;1.0916757583618164;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.972212553024292;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.6269409656524658;0-2;LSB bit-flip
s_args2;newton.c;85;1.213569164276123;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.16522717475891113;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.1338310241699219;0-2;LSB bit-flip
s_args1;newton.c;85;1.1621859073638916;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.31499552726745605;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.9478328227996826;0-2;LSB bit-flip
_rtld_local;rtld.c;162;0.4213528633117676;0-2;LSB bit-flip
s_args1;newton.c;85;0.5988678932189941;0-2;LSB bit-flip
s_args2;newton.c;85;0.5596816539764404;0-2;LSB bit-flip
_buffer;pthread_join.c;62;0.6834330558776855;0-2;LSB bit-flip
s_args1;newton.c;85;0.752927303314209;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;168;0.7266883850097656;0-2;LSB bit-flip
s_args1;newton.c;85;0.4637413024902344;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.9779675006866455;0-2;LSB bit-flip
s_args2;newton.c;85;1.2858939170837402;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.24062585830688477;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.6624908447265625;0-2;LSB bit-flip
s_args2;newton.c;85;0.5570220947265625;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.22219419479370117;0-2;LSB bit-flip
s_args1;newton.c;85;0.7104859352111816;0-2;LSB bit-flip
_rtld_local;rtld.c;162;0.7620575428009033;0-2;LSB bit-flip
s_args2;newton.c;85;0.5471506118774414;0-2;LSB bit-flip
