Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
index;newton.c;26;0.8265936374664307;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.9575214385986328;0-2;LSB bit-flip
_rtld_global;rtld.c;140;0.6780674457550049;0-2;LSB bit-flip
index;newton.c;26;0.6734750270843506;0-2;LSB bit-flip
vector;newton.c;24;0.9413866996765137;0-2;LSB bit-flip
f_input;newton.c;25;0.4891645908355713;0-2;LSB bit-flip
vector;newton.c;24;0.4762992858886719;0-2;LSB bit-flip
index;newton.c;26;0.24436211585998535;0-2;LSB bit-flip
index;newton.c;26;0.9711878299713135;0-2;LSB bit-flip
index;newton.c;26;1.2317681312561035;0-2;LSB bit-flip
vector;newton.c;24;0.7248959541320801;0-2;LSB bit-flip
f_input;newton.c;25;0.7258784770965576;0-2;LSB bit-flip
index;newton.c;26;0.25514650344848633;0-2;LSB bit-flip
index;newton.c;26;0.6703481674194336;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.38701319694519043;0-2;LSB bit-flip
exponent;strtod_l.c;339;0.706742525100708;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.46887850761413574;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.9225029945373535;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.21248984336853027;0-2;LSB bit-flip
_dl_argv;rtld.c;86;1.080777645111084;0-2;LSB bit-flip
index;newton.c;26;0.716691255569458;0-2;LSB bit-flip
index;newton.c;26;1.1246001720428467;0-2;LSB bit-flip
index;newton.c;26;0.887486457824707;0-2;LSB bit-flip
vector;newton.c;24;1.1733109951019287;0-2;LSB bit-flip
index;newton.c;26;1.1599175930023193;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.25852084159851074;0-2;LSB bit-flip
index;newton.c;26;0.5629570484161377;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.3045783042907715;0-2;LSB bit-flip
f_input;newton.c;25;0.42764830589294434;0-2;LSB bit-flip
vector;newton.c;24;0.6380596160888672;0-2;LSB bit-flip
_rtld_global;rtld.c;140;1.1096370220184326;0-2;LSB bit-flip
index;newton.c;26;0.49475693702697754;0-2;LSB bit-flip
f_input;newton.c;25;0.7778987884521484;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.0987563133239746;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.872643232345581;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.32109618186950684;0-2;LSB bit-flip
index;newton.c;26;1.2321114540100098;0-2;LSB bit-flip
f_input;newton.c;25;0.4535562992095947;0-2;LSB bit-flip
