Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
_rtld_local_ro;rtld.c;202;0.8510429859161377;0-2;LSB bit-flip
vector;newton.c;15;0.7076001167297363;0-2;LSB bit-flip
vector;newton.c;15;1.0845098495483398;0-2;LSB bit-flip
index;newton.c;17;0.9480686187744141;0-2;LSB bit-flip
vector;newton.c;15;0.6880447864532471;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.8914968967437744;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.9339244365692139;0-2;LSB bit-flip
f_input;newton.c;16;0.6080522537231445;0-2;LSB bit-flip
f_input;newton.c;16;0.3608841896057129;0-2;LSB bit-flip
index;newton.c;17;0.36200618743896484;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.6256406307220459;0-2;LSB bit-flip
index;newton.c;17;0.5593364238739014;0-2;LSB bit-flip
vector;newton.c;15;0.5654881000518799;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.3250606060028076;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.25150561332702637;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.9436638355255127;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.6994538307189941;0-2;LSB bit-flip
index;newton.c;17;0.2754671573638916;0-2;LSB bit-flip
vector;newton.c;15;0.9996957778930664;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.1241166591644287;0-2;LSB bit-flip
vector;newton.c;15;0.33879613876342773;0-2;LSB bit-flip
index;newton.c;17;0.4188690185546875;0-2;LSB bit-flip
numsize;strtod_l.c;483;0.8252291679382324;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.5101234912872314;0-2;LSB bit-flip
f_input;newton.c;16;0.6404383182525635;0-2;LSB bit-flip
f_input;newton.c;16;0.38677239418029785;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.28615474700927734;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.883145809173584;0-2;LSB bit-flip
vector;newton.c;15;0.8874683380126953;0-2;LSB bit-flip
_rtld_local;rtld.c;162;0.6456432342529297;0-2;LSB bit-flip
index;newton.c;17;0.45128822326660156;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.18061161041259766;0-2;LSB bit-flip
index;newton.c;17;0.9644582271575928;0-2;LSB bit-flip
index;newton.c;17;0.3800954818725586;0-2;LSB bit-flip
index;newton.c;17;1.0892906188964844;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.8871653079986572;0-2;LSB bit-flip
vector;newton.c;15;0.6150035858154297;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.6874229907989502;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.0094540119171143;0-2;LSB bit-flip
index;newton.c;17;0.4532167911529541;0-2;LSB bit-flip
_rtld_local;rtld.c;162;0.416517972946167;0-2;LSB bit-flip
index;newton.c;17;0.9614064693450928;0-2;LSB bit-flip
index;newton.c;17;1.0499606132507324;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.9878473281860352;0-2;LSB bit-flip
f_input;newton.c;16;0.6318860054016113;0-2;LSB bit-flip
index;newton.c;17;0.7870798110961914;0-2;LSB bit-flip
index;newton.c;17;1.1336467266082764;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.33321070671081543;0-2;LSB bit-flip
f_input;newton.c;16;0.7790377140045166;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.9364793300628662;0-2;LSB bit-flip
index;newton.c;17;0.21045327186584473;0-2;LSB bit-flip
vector;newton.c;15;0.5197348594665527;0-2;LSB bit-flip
vector;newton.c;15;0.48029446601867676;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.45475268363952637;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.24113988876342773;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.5131115913391113;0-2;LSB bit-flip
index;newton.c;17;0.9809961318969727;0-2;LSB bit-flip
index;newton.c;17;0.9956586360931396;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.934168815612793;0-2;LSB bit-flip
f_input;newton.c;16;0.648472785949707;0-2;LSB bit-flip
f_input;newton.c;16;0.3239758014678955;0-2;LSB bit-flip
f_input;newton.c;16;0.40709686279296875;0-2;LSB bit-flip
index;newton.c;17;1.109832525253296;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.3180527687072754;0-2;LSB bit-flip
f_input;newton.c;16;0.2466449737548828;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.7526030540466309;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.852104663848877;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.28704380989074707;0-2;LSB bit-flip
f_input;newton.c;16;0.9142255783081055;0-2;LSB bit-flip
f_input;newton.c;16;0.8631877899169922;0-2;LSB bit-flip
index;newton.c;17;0.7908275127410889;0-2;LSB bit-flip
f_input;newton.c;16;0.34534502029418945;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.40749573707580566;0-2;LSB bit-flip
f_input;newton.c;16;0.2819383144378662;0-2;LSB bit-flip
exponent;strtod_l.c;339;1.0901906490325928;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.1404638290405273;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.4696633815765381;0-2;LSB bit-flip
vector;newton.c;15;0.8460431098937988;0-2;LSB bit-flip
f_input;newton.c;16;0.8377132415771484;0-2;LSB bit-flip
f_input;newton.c;16;0.7143387794494629;0-2;LSB bit-flip
_rtld_local;rtld.c;162;0.705754280090332;0-2;LSB bit-flip
f_input;newton.c;16;0.8319904804229736;0-2;LSB bit-flip
index;newton.c;17;0.9966983795166016;0-2;LSB bit-flip
f_input;newton.c;16;0.3280467987060547;0-2;LSB bit-flip
index;newton.c;17;0.9599344730377197;0-2;LSB bit-flip
f_input;newton.c;16;0.2526988983154297;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.5846817493438721;0-2;LSB bit-flip
index;newton.c;17;1.1865065097808838;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.5511965751647949;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.37334609031677246;0-2;LSB bit-flip
vector;newton.c;15;0.43020057678222656;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.3112311363220215;0-2;LSB bit-flip
vector;newton.c;15;1.0303282737731934;0-2;LSB bit-flip
f_input;newton.c;16;0.6408348083496094;0-2;LSB bit-flip
f_input;newton.c;16;0.5783591270446777;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;168;0.6273400783538818;0-2;LSB bit-flip
index;newton.c;17;0.4194331169128418;0-2;LSB bit-flip
index;newton.c;17;0.6071221828460693;0-2;LSB bit-flip
vector;newton.c;15;0.4971656799316406;0-2;LSB bit-flip
exponent;strtod_l.c;339;0.6191408634185791;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.6415696144104004;0-2;LSB bit-flip
f_input;newton.c;16;1.151390552520752;0-2;LSB bit-flip
vector;newton.c;15;0.2691044807434082;0-2;LSB bit-flip
f_input;newton.c;16;0.9333112239837646;0-2;LSB bit-flip
index;newton.c;17;0.5751163959503174;0-2;LSB bit-flip
index;newton.c;17;0.7458534240722656;0-2;LSB bit-flip
vector;newton.c;15;0.7200517654418945;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.28450870513916016;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.6390070915222168;0-2;LSB bit-flip
f_input;newton.c;16;0.8545634746551514;0-2;LSB bit-flip
index;newton.c;17;1.1278347969055176;0-2;LSB bit-flip
index;newton.c;17;0.3289668560028076;0-2;LSB bit-flip
index;newton.c;17;0.38039159774780273;0-2;LSB bit-flip
vector;newton.c;15;0.7912333011627197;0-2;LSB bit-flip
