Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
value;newton.c;45;0.4609506130218506;0-2;LSB bit-flip
value;newton.c;11;1.339057207107544;0-2;LSB bit-flip
value;newton.c;45;0.8625996112823486;0-2;LSB bit-flip
value;newton.c;45;0.6003990173339844;0-2;LSB bit-flip
vector;newton.c;15;0.9576361179351807;0-2;LSB bit-flip
vector;newton.c;15;0.28080153465270996;0-2;LSB bit-flip
allowed_error;newton.c;45;1.2714712619781494;0-2;LSB bit-flip
allowed_error;newton.c;45;0.8039045333862305;0-2;LSB bit-flip
value;newton.c;7;0.3832087516784668;0-2;LSB bit-flip
value;newton.c;45;0.5583457946777344;0-2;LSB bit-flip
allowed_error;newton.c;45;1.637744426727295;0-2;LSB bit-flip
value;newton.c;45;0.9400713443756104;0-2;LSB bit-flip
allowed_error;newton.c;45;0.6056368350982666;0-2;LSB bit-flip
value;newton.c;45;0.5725679397583008;0-2;LSB bit-flip
value;newton.c;45;0.7615091800689697;0-2;LSB bit-flip
index;newton.c;32;1.4165878295898438;0-2;LSB bit-flip
value;newton.c;45;0.9379539489746094;0-2;LSB bit-flip
value;newton.c;45;1.4107260704040527;0-2;LSB bit-flip
f_output;newton.c;31;0.7872827053070068;0-2;LSB bit-flip
value;newton.c;45;0.5140573978424072;0-2;LSB bit-flip
f_output;newton.c;31;1.4844319820404053;0-2;LSB bit-flip
value;newton.c;7;0.7251081466674805;0-2;LSB bit-flip
value;newton.c;7;0.5492558479309082;0-2;LSB bit-flip
allowed_error;newton.c;45;0.6623358726501465;0-2;LSB bit-flip
value;newton.c;45;1.0809247493743896;0-2;LSB bit-flip
value;newton.c;7;0.6348614692687988;0-2;LSB bit-flip
value;newton.c;45;1.2195630073547363;0-2;LSB bit-flip
value;newton.c;45;1.1874992847442627;0-2;LSB bit-flip
value;newton.c;45;0.49357080459594727;0-2;LSB bit-flip
value;newton.c;7;0.6302611827850342;0-2;LSB bit-flip
value;newton.c;45;0.6628589630126953;0-2;LSB bit-flip
vector;newton.c;15;0.3950014114379883;0-2;LSB bit-flip
value;newton.c;7;1.4123921394348145;0-2;LSB bit-flip
