Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
user_entry;../elf/dl-sysdep.c;89;1.0537376403808594;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.0313563346862793;0-2;LSB bit-flip
s_args1;newton.c;85;0.6273252964019775;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.1863114833831787;0-2;LSB bit-flip
s_args2;newton.c;85;1.2937824726104736;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.0440263748168945;0-2;LSB bit-flip
s_args2;newton.c;85;1.496748924255371;0-2;LSB bit-flip
s_args1;newton.c;85;0.8375823497772217;0-2;LSB bit-flip
s_args1;newton.c;85;0.418964147567749;0-2;LSB bit-flip
s_args1;newton.c;85;1.2476692199707031;0-2;LSB bit-flip
s_args2;newton.c;85;0.4863412380218506;0-2;LSB bit-flip
s_args1;newton.c;85;0.6014003753662109;0-2;LSB bit-flip
s_args2;newton.c;85;1.0009443759918213;0-2;LSB bit-flip
_buffer;pthread_join.c;62;1.0631859302520752;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.5427863597869873;0-2;LSB bit-flip
_buffer;pthread_join.c;62;1.0617766380310059;0-2;LSB bit-flip
s_args2;newton.c;85;0.715980052947998;0-2;LSB bit-flip
s_args2;newton.c;85;0.8820090293884277;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.7223634719848633;0-2;LSB bit-flip
s_args2;newton.c;85;0.5748023986816406;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.6854467391967773;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.0472965240478516;0-2;LSB bit-flip
s_args2;newton.c;85;1.0517754554748535;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.23601460456848145;0-2;LSB bit-flip
s_args1;newton.c;85;0.9683868885040283;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.27106142044067383;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.2639789581298828;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.23693466186523438;0-2;LSB bit-flip
_buffer;pthread_join.c;62;1.0043790340423584;0-2;LSB bit-flip
s_args2;newton.c;85;0.8265485763549805;0-2;LSB bit-flip
id2;newton.c;84;0.5329229831695557;0-2;LSB bit-flip
s_args1;newton.c;85;1.0971684455871582;0-2;LSB bit-flip
s_args1;newton.c;85;1.4126310348510742;0-2;LSB bit-flip
s_args2;newton.c;85;1.0636768341064453;0-2;LSB bit-flip
argc;newton.c;79;0.5506775379180908;0-2;LSB bit-flip
_buffer;pthread_join.c;62;0.9009981155395508;0-2;LSB bit-flip
_rtld_global;rtld.c;140;0.6688034534454346;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.7745110988616943;0-2;LSB bit-flip
s_args1;newton.c;85;1.1818933486938477;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.21802735328674316;0-2;LSB bit-flip
s_args1;newton.c;85;0.6703314781188965;0-2;LSB bit-flip
_rtld_local;rtld.c;162;0.43465542793273926;0-2;LSB bit-flip
s_args2;newton.c;85;0.7684929370880127;0-2;LSB bit-flip
s_args2;newton.c;85;0.7568492889404297;0-2;LSB bit-flip
s_args2;newton.c;85;1.3355119228363037;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.858123779296875;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.5349135398864746;0-2;LSB bit-flip
s_args1;newton.c;85;1.0868048667907715;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.091418981552124;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.6578013896942139;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.8130884170532227;0-2;LSB bit-flip
s_args1;newton.c;85;0.7714886665344238;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.4651303291320801;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.25092101097106934;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.4508700370788574;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.8916158676147461;0-2;LSB bit-flip
_rtld_local;rtld.c;162;1.1535742282867432;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;168;1.1319210529327393;0-2;LSB bit-flip
s_args2;newton.c;85;0.8539886474609375;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.5500414371490479;0-2;LSB bit-flip
s_args1;newton.c;85;1.179976224899292;0-2;LSB bit-flip
